"id","zipcode","facility_name","facility_code"
"dhl_facility_01001",1001,"VITORIA",1
"dhl_facility_01002",1002,"VITORIA",1
"dhl_facility_01003",1003,"VITORIA",1
"dhl_facility_01004",1004,"VITORIA",1
"dhl_facility_01005",1005,"VITORIA",1
"dhl_facility_01006",1006,"VITORIA",1
"dhl_facility_01007",1007,"VITORIA",1
"dhl_facility_01008",1008,"VITORIA",1
"dhl_facility_01009",1009,"VITORIA",1
"dhl_facility_01010",1010,"VITORIA",1
"dhl_facility_01011",1011,"VITORIA",1
"dhl_facility_01012",1012,"VITORIA",1
"dhl_facility_01013",1013,"VITORIA",1
"dhl_facility_01015",1015,"VITORIA",1
"dhl_facility_01080",1080,"VITORIA",1
"dhl_facility_01100",1100,"VITORIA",1
"dhl_facility_01110",1110,"VITORIA",1
"dhl_facility_01117",1117,"VITORIA",1
"dhl_facility_01118",1118,"VITORIA",1
"dhl_facility_01119",1119,"VITORIA",1
"dhl_facility_01120",1120,"VITORIA",1
"dhl_facility_01128",1128,"VITORIA",1
"dhl_facility_01129",1129,"VITORIA",1
"dhl_facility_01130",1130,"VITORIA",1
"dhl_facility_01138",1138,"VITORIA",1
"dhl_facility_01139",1139,"VITORIA",1
"dhl_facility_01140",1140,"VITORIA",1
"dhl_facility_01150",1150,"VITORIA",1
"dhl_facility_01160",1160,"BERGARA",20
"dhl_facility_01165",1165,"VITORIA",1
"dhl_facility_01169",1169,"BERGARA",20
"dhl_facility_01170",1170,"VITORIA",1
"dhl_facility_01171",1171,"VITORIA",1
"dhl_facility_01190",1190,"VITORIA",1
"dhl_facility_01191",1191,"VITORIA",1
"dhl_facility_01192",1192,"VITORIA",1
"dhl_facility_01193",1193,"VITORIA",1
"dhl_facility_01194",1194,"VITORIA",1
"dhl_facility_01195",1195,"VITORIA",1
"dhl_facility_01196",1196,"VITORIA",1
"dhl_facility_01200",1200,"VITORIA",1
"dhl_facility_01206",1206,"VITORIA",1
"dhl_facility_01207",1207,"VITORIA",1
"dhl_facility_01208",1208,"VITORIA",1
"dhl_facility_01209",1209,"VITORIA",1
"dhl_facility_01210",1210,"VITORIA",1
"dhl_facility_01211",1211,"VITORIA",1
"dhl_facility_01212",1212,"VITORIA",1
"dhl_facility_01213",1213,"VITORIA",1
"dhl_facility_01214",1214,"VITORIA",1
"dhl_facility_01216",1216,"VITORIA",1
"dhl_facility_01218",1218,"VITORIA",1
"dhl_facility_01220",1220,"VITORIA",1
"dhl_facility_01230",1230,"VITORIA",1
"dhl_facility_01240",1240,"VITORIA",1
"dhl_facility_01250",1250,"VITORIA",1
"dhl_facility_01260",1260,"VITORIA",1
"dhl_facility_01300",1300,"LOGROÑO",26
"dhl_facility_01306",1306,"LOGROÑO",26
"dhl_facility_01307",1307,"LOGROÑO",26
"dhl_facility_01308",1308,"LOGROÑO",26
"dhl_facility_01309",1309,"LOGROÑO",26
"dhl_facility_01320",1320,"LOGROÑO",26
"dhl_facility_01321",1321,"LOGROÑO",26
"dhl_facility_01322",1322,"LOGROÑO",26
"dhl_facility_01330",1330,"LOGROÑO",26
"dhl_facility_01339",1339,"VITORIA",1
"dhl_facility_01340",1340,"LOGROÑO",26
"dhl_facility_01400",1400,"VITORIA",1
"dhl_facility_01408",1408,"VITORIA",1
"dhl_facility_01409",1409,"VITORIA",1
"dhl_facility_01420",1420,"VITORIA",1
"dhl_facility_01423",1423,"VITORIA",1
"dhl_facility_01424",1424,"VITORIA",1
"dhl_facility_01425",1425,"VITORIA",1
"dhl_facility_01426",1426,"VITORIA",1
"dhl_facility_01427",1427,"VITORIA",1
"dhl_facility_01428",1428,"VITORIA",1
"dhl_facility_01429",1429,"VITORIA",1
"dhl_facility_01430",1430,"VITORIA",1
"dhl_facility_01439",1439,"VITORIA",1
"dhl_facility_01440",1440,"VITORIA",1
"dhl_facility_01449",1449,"VITORIA",1
"dhl_facility_01450",1450,"VITORIA",1
"dhl_facility_01468",1468,"VITORIA",1
"dhl_facility_01470",1470,"VITORIA",1
"dhl_facility_01474",1474,"VITORIA",1
"dhl_facility_01475",1475,"VITORIA",1
"dhl_facility_01476",1476,"VITORIA",1
"dhl_facility_01477",1477,"VITORIA",1
"dhl_facility_01478",1478,"VITORIA",1
"dhl_facility_01479",1479,"VITORIA",1
"dhl_facility_01510",1510,"VITORIA",1
"dhl_facility_01520",1520,"VITORIA",1
"dhl_facility_02001",2001,"ALBACETE",2
"dhl_facility_02002",2002,"ALBACETE",2
"dhl_facility_02003",2003,"ALBACETE",2
"dhl_facility_02004",2004,"ALBACETE",2
"dhl_facility_02005",2005,"ALBACETE",2
"dhl_facility_02006",2006,"ALBACETE",2
"dhl_facility_02007",2007,"ALBACETE",2
"dhl_facility_02049",2049,"ALBACETE",2
"dhl_facility_02080",2080,"ALBACETE",2
"dhl_facility_02100",2100,"ALBACETE",2
"dhl_facility_02110",2110,"ALBACETE",2
"dhl_facility_02120",2120,"ALBACETE",2
"dhl_facility_02124",2124,"ALBACETE",2
"dhl_facility_02125",2125,"ALBACETE",2
"dhl_facility_02126",2126,"ALBACETE",2
