"country_id","zip_code","directional_code","destination_code"
"AD",43,"AD04","."
"AD","AD100","ADAD","."
"AD","AD200","ADAD","."
"AD","AD300","ADAD","."
"AD","AD400","ADAD","."
"AD","AD500","ADAD","."
"AD","AD600","ADAD","."
"AD","AND","ADAN","."
"AD","AD700","ADAD","."
"AE","ARE","AEAR","."
"AF","AFG","AFAF","."
"AL",1000,"AL10","."
"AL",1001,"AL10","."
"AL",1002,"AL10","."
"AL",1003,"AL10","."
"AL",1004,"AL10","."
"AL",1005,"AL10","."
"AL",1006,"AL10","."
"AL",1007,"AL10","."
"AL",1008,"AL10","."
"AL",1009,"AL10","."
"AL",1010,"AL10","."
"AL",1011,"AL10","."
"AL",1012,"AL10","."
"AL",1013,"AL10","."
"AL",1014,"AL10","."
"AL",1015,"AL10","."
"AL",1016,"AL10","."
"AL",1017,"AL10","."
"AL",1018,"AL10","."
"AL",1019,"AL10","."
"AL",1020,"AL10","."
"AL",1021,"AL10","."
"AL",1022,"AL10","."
"AL",1023,"AL10","."
"AL",1024,"AL10","."
"AL",1025,"AL10","."
"AL",1026,"AL10","."
"AL",1027,"AL10","."
"AL",1028,"AL10","."
"AL",1029,"AL10","."
"AL",1030,"AL10","."
"AL",1031,"AL10","."
"AL",1032,"AL10","."
"AL",1033,"AL10","."
"AL",1034,"AL10","."
"AL",1035,"AL10","."
"AL",1036,"AL10","."
"AL",1037,"AL10","."
"AL",1038,"AL10","."
"AL",1039,"AL10","."
"AL",1040,"AL10","."
"AL",1041,"AL10","."
"AL",1042,"AL10","."
"AL",1043,"AL10","."
"AL",1044,"AL10","."
"AL",1045,"AL10","."
"AL",1046,"AL10","."
"AL",1047,"AL10","."
"AL",1048,"AL10","."
"AL",1049,"AL10","."
"AL",1050,"AL10","."
"AL",1051,"AL10","."
"AL",1052,"AL10","."
"AL",1053,"AL10","."
"AL",1054,"AL10","."
"AL",1501,"AL15","."
"AL",1502,"AL15","."
"AL",1503,"AL15","."
"AL",1504,"AL15","."
"AL",1505,"AL15","."
"AL",1506,"AL15","."
"AL",1507,"AL15","."
"AL",1508,"AL15","."
"AL",2000,"AL20","."
"AL",2001,"AL20","."
"AL",2002,"AL20","."
"AL",2003,"AL20","."
"AL",2004,"AL20","."
"AL",2005,"AL20","."
"AL",2006,"AL20","."
"AL",2007,"AL20","."
"AL",2008,"AL20","."
"AL",2009,"AL20","."
"AL",2010,"AL20","."
"AL",2011,"AL20","."
"AL",2012,"AL20","."
"AL",2013,"AL20","."
"AL",2014,"AL20","."
"AL",2015,"AL20","."
"AL",2016,"AL20","."
"AL",2017,"AL20","."
"AL",2019,"AL20","."
"AL",2020,"AL20","."
"AL",2021,"AL20","."
"AL",2022,"AL20","."
"AL",2501,"AL25","."
"AL",2502,"AL25","."
"AL",2503,"AL25","."
"AL",2504,"AL25","."
"AL",2505,"AL25","."
"AL",2506,"AL25","."
"AL",2507,"AL25","."
"AL",2508,"AL25","."
"AL",2509,"AL25","."
"AL",2510,"AL25","."
"AL",2511,"AL25","."
"AL",3000,"AL30","."
"AL",3001,"AL30","."
"AL",3002,"AL30","."
"AL",3003,"AL30","."
"AL",3004,"AL30","."
"AL",3005,"AL30","."
"AL",3006,"AL30","."
"AL",3007,"AL30","."
"AL",3008,"AL30","."
"AL",3009,"AL30","."
"AL",3010,"AL30","."
"AL",3011,"AL30","."
"AL",3012,"AL30","."
"AL",3013,"AL30","."
"AL",3014,"AL30","."
"AL",3015,"AL30","."
"AL",3016,"AL30","."
"AL",3017,"AL30","."
"AL",3018,"AL30","."
"AL",3019,"AL30","."
"AL",3020,"AL30","."
"AL",3021,"AL30","."
"AL",3022,"AL30","."
"AL",3023,"AL30","."
"AL",3024,"AL30","."
"AL",3025,"AL30","."
"AL",3026,"AL30","."
"AL",3027,"AL30","."
"AL",3301,"AL33","."
"AL",3302,"AL33","."
"AL",3303,"AL33","."
"AL",3304,"AL33","."
"AL",3305,"AL33","."
"AL",3306,"AL33","."
"AL",3307,"AL33","."
"AL",3308,"AL33","."
"AL",3309,"AL33","."
"AL",3310,"AL33","."
"AL",3401,"AL34","."
"AL",3402,"AL34","."
"AL",3403,"AL34","."
"AL",3404,"AL34","."
"AL",3405,"AL34","."
"AL",3406,"AL34","."
"AL",3407,"AL34","."
"AL",3408,"AL34","."
"AL",3409,"AL34","."
"AL",3410,"AL34","."
"AL",3411,"AL34","."
"AL",3412,"AL34","."
"AL",3413,"AL34","."
"AL",3501,"AL35","."
"AL",3502,"AL35","."
"AL",3503,"AL35","."
"AL",3504,"AL35","."
"AL",3505,"AL35","."
"AL",3506,"AL35","."
"AL",4001,"AL40","."
"AL",4002,"AL40","."
"AL",4003,"AL40","."
"AL",4004,"AL40","."
"AL",4005,"AL40","."
"AL",4006,"AL40","."
"AL",4007,"AL40","."
"AL",4008,"AL40","."
"AL",4009,"AL40","."
"AL",4010,"AL40","."
"AL",4011,"AL40","."
"AL",4012,"AL40","."
"AL",4013,"AL40","."
"AL",4014,"AL40","."
"AL",4015,"AL40","."
"AL",4016,"AL40","."
"AL",4017,"AL40","."
"AL",4018,"AL40","."
"AL",4019,"AL40","."
"AL",4020,"AL40","."
"AL",4021,"AL40","."
"AL",4022,"AL40","."
"AL",4023,"AL40","."
"AL",4024,"AL40","."
"AL",4025,"AL40","."
"AL",4026,"AL40","."
"AL",4027,"AL40","."
"AL",4028,"AL40","."
"AL",4029,"AL40","."
"AL",4030,"AL40","."
"AL",4301,"AL43","."
"AL",4302,"AL43","."
"AL",4303,"AL43","."
"AL",4304,"AL43","."
"AL",4305,"AL43","."
"AL",4306,"AL43","."
"AL",4401,"AL44","."
"AL",4402,"AL44","."
"AL",4403,"AL44","."
"AL",4404,"AL44","."
"AL",4405,"AL44","."
"AL",4406,"AL44","."
"AL",4407,"AL44","."
"AL",4408,"AL44","."
"AL",4409,"AL44","."
"AL",4501,"AL45","."
"AL",4502,"AL45","."
"AL",4503,"AL45","."
"AL",4504,"AL45","."
"AL",4505,"AL45","."
"AL",4506,"AL45","."
"AL",4507,"AL45","."
"AL",4508,"AL45","."
"AL",4509,"AL45","."
"AL",4510,"AL45","."
"AL",4601,"AL46","."
"AL",4602,"AL46","."
"AL",4603,"AL46","."
"AL",4604,"AL46","."
"AL",4605,"AL46","."
"AL",4606,"AL46","."
"AL",4607,"AL46","."
"AL",4608,"AL46","."
"AL",4701,"AL47","."
"AL",4702,"AL47","."
"AL",4703,"AL47","."
"AL",4704,"AL47","."
"AL",4705,"AL47","."
